date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
20:23:22	23/23	---M--	200	added ('OK')	text/plain	etag:%227121965-17-52475a6eee180%22	https://www.forefrontcertification.co.uk/robots.txt		(from )
20:23:25	169280/169280	---MCZ	200	added ('OK')	text/html	date:Sun,%2012%20Jan%202020%2013:23:22%20GMT	https://www.forefrontcertification.co.uk/	D:/Website_download/forefront/www.forefrontcertification.co.uk/index.html	(from )
20:23:26	31000/31000	---M-Z	200	added ('OK')	text/css	etag:%221544639720%22	http://maxcdn.bootstrapcdn.com/font-awesome/4.7.0/css/font-awesome.min.css	D:/Website_download/forefront/maxcdn.bootstrapcdn.com/font-awesome/4.7.0/css/font-awesome.min.css	(from https://www.forefrontcertification.co.uk/)
20:23:27	14749/14749	---M--	200	added ('OK')	image/png	etag:%2271c63d4-399d-597206f6aab6d%22	https://www.forefrontcertification.co.uk/wp-content/uploads/2019/11/FF_FAVICON.png	D:/Website_download/forefront/www.forefrontcertification.co.uk/wp-content/uploads/2019/11/FF_FAVICON.png	(from https://www.forefrontcertification.co.uk/)
20:23:27	5650/5650	---M--	200	added ('OK')	text/css	etag:%2271c0fd8-1612-53a18e0481600%22	https://www.forefrontcertification.co.uk/wp-content/plugins/displayProduct/assets/css/template-editor/dp-template-editor.css?ver=5.3.2	D:/Website_download/forefront/www.forefrontcertification.co.uk/wp-content/plugins/displayProduct/assets/css/template-editor/dp-template-editor9dff.css	(from https://www.forefrontcertification.co.uk/)
20:23:28	30440/30440	---M--	200	added ('OK')	text/css	etag:%2271c0cfa-76e8-599f6e4f88d75%22	https://www.forefrontcertification.co.uk/wp-content/plugins/woocommerce/packages/woocommerce-blocks/build/style.css?ver=2.4.5	D:/Website_download/forefront/www.forefrontcertification.co.uk/wp-content/plugins/woocommerce/packages/woocommerce-blocks/build/style747d.css	(from https://www.forefrontcertification.co.uk/)
20:23:29	15708/15708	---M--	200	added ('OK')	text/css	etag:%2271c21fb-3d5c-530f9798fa400%22	https://www.forefrontcertification.co.uk/wp-content/plugins/LayerSlider/static/css/layerslider.css?ver=5.6.2	D:/Website_download/forefront/www.forefrontcertification.co.uk/wp-content/plugins/LayerSlider/static/css/layerslider4c7e.css	(from https://www.forefrontcertification.co.uk/)
20:23:29	1645/1645	---M--	200	added ('OK')	text/css	etag:%2271c028b-66d-599f6e3fb9be3%22	https://www.forefrontcertification.co.uk/wp-content/plugins/contact-form-7/includes/css/styles.css?ver=5.1.6	D:/Website_download/forefront/www.forefrontcertification.co.uk/wp-content/plugins/contact-form-7/includes/css/stylesb62d.css	(from https://www.forefrontcertification.co.uk/)
20:23:29	8150/8150	---M--	200	added ('OK')	text/css	etag:%2271c0f84-1fd6-53a18e0481600%22	https://www.forefrontcertification.co.uk/wp-content/plugins/displayProduct//plugin/magnific/magnific.css?ver=5.3.2	D:/Website_download/forefront/www.forefrontcertification.co.uk/wp-content/plugins/displayProduct/plugin/magnific/magnific9dff.css	(from https://www.forefrontcertification.co.uk/)
20:23:30	4221/4221	---M--	200	added ('OK')	text/css	etag:%2271c0f87-107d-53a18e0481600%22	https://www.forefrontcertification.co.uk/wp-content/plugins/displayProduct//plugin/magnific/magnific-custom.css?ver=5.3.2	D:/Website_download/forefront/www.forefrontcertification.co.uk/wp-content/plugins/displayProduct/plugin/magnific/magnific-custom9dff.css	(from https://www.forefrontcertification.co.uk/)
20:23:30	839/839	---MC-	200	added ('OK')	application/rss+xml	etag:%22c87159c151300ee5bf94c30ec0d8138b%22	https://www.forefrontcertification.co.uk/comments/feed/	D:/Website_download/forefront/www.forefrontcertification.co.uk/comments/feed/index.html	(from https://www.forefrontcertification.co.uk/)
20:23:30	831/831	---MC-	200	added ('OK')	application/rss+xml	etag:%22c87159c151300ee5bf94c30ec0d8138b%22	https://www.forefrontcertification.co.uk/home-3/feed/	D:/Website_download/forefront/www.forefrontcertification.co.uk/home-3/feed/index.html	(from https://www.forefrontcertification.co.uk/)
20:23:30	94915/94915	---MC-	200	added ('OK')	application/rss+xml	etag:%221ef28308b206361d293dbc9faf6ce8ed%22	https://www.forefrontcertification.co.uk/feed/	D:/Website_download/forefront/www.forefrontcertification.co.uk/feed/index.html	(from https://www.forefrontcertification.co.uk/)
20:23:30	35876/35876	---M--	200	added ('OK')	text/css	etag:%2271c1a03-8c24-530f978216e00%22	https://www.forefrontcertification.co.uk/wp-content/plugins/revslider/public/assets/css/settings.css?ver=5.1.6	D:/Website_download/forefront/www.forefrontcertification.co.uk/wp-content/plugins/revslider/public/assets/css/settingsb62d.css	(from https://www.forefrontcertification.co.uk/)
20:23:31	16542/16542	---M--	200	added ('OK')	text/css	etag:%2271c0c07-409e-599f6e4f787be%22	https://www.forefrontcertification.co.uk/wp-content/plugins/woocommerce/assets/css/woocommerce-layout.css?ver=3.8.1	D:/Website_download/forefront/www.forefrontcertification.co.uk/wp-content/plugins/woocommerce/assets/css/woocommerce-layout7e2e.css	(from https://www.forefrontcertification.co.uk/)
20:23:31	6758/6758	---M--	200	added ('OK')	text/css	etag:%2271c0bc9-1a66-599f6e4f72de6%22	https://www.forefrontcertification.co.uk/wp-content/plugins/woocommerce/assets/css/woocommerce-smallscreen.css?ver=3.8.1	D:/Website_download/forefront/www.forefrontcertification.co.uk/wp-content/plugins/woocommerce/assets/css/woocommerce-smallscreen7e2e.css	(from https://www.forefrontcertification.co.uk/)
20:23:31	61840/61840	---M--	200	added ('OK')	text/css	etag:%2271c0975-f190-5984cc19833ce%22	https://www.forefrontcertification.co.uk/wp-content/uploads/maxmegamenu/style.css?ver=0b176b	D:/Website_download/forefront/www.forefrontcertification.co.uk/wp-content/uploads/maxmegamenu/styledbd1.css	(from https://www.forefrontcertification.co.uk/)
20:23:31	62669/62669	---M--	200	added ('OK')	text/css	etag:%2271c0be0-f4cd-599f6e4f76c66%22	https://www.forefrontcertification.co.uk/wp-content/plugins/woocommerce/assets/css/woocommerce.css?ver=3.8.1	D:/Website_download/forefront/www.forefrontcertification.co.uk/wp-content/plugins/woocommerce/assets/css/woocommerce7e2e.css	(from https://www.forefrontcertification.co.uk/)
